factors	triplet	singlet
9.5e-1	3.34542625752361e1	1.206913105340893e3
9.502004008016032e-1	3.403572458408632e1	1.4672338776886463e3
9.504008016032064e-1	3.461306279595628e1	1.8809914095029067e3
9.506012024048096e-1	3.5186375439256494e1	2.6407858503691045e3
9.508016032064128e-1	3.575575892013352e1	4.493469237337324e3
9.51002004008016e-1	3.632130654332269e1	1.5846260405117411e4
9.512024048096192e-1	3.688311056959799e1	-1.0021331173416818e4
9.514028056112224e-1	3.744126107865086e1	-3.7553162736331974e3
9.516032064128256e-1	3.7995845992696616e1	-2.2906232767420183e3
9.518036072144288e-1	3.854695220611886e1	-1.6372548959333096e3
9.52004008016032e-1	3.909466297149203e1	-1.2672356839065153e3
9.522044088176352e-1	3.963906215564319e1	-1.0290427218386228e3
9.524048096192385e-1	4.0180230142296175e1	-8.628456866010262e2
9.526052104208417e-1	4.0718247545772876e1	-7.402625334049155e2
9.528056112224449e-1	4.125319137811083e1	-6.460968160858424e2
9.53006012024048e-1	4.178513930700427e1	-5.7147731581719e2
9.532064128256512e-1	4.231416530497779e1	-5.10877288159598e2
9.534068136272544e-1	4.2840343126229484e1	-4.6067410988087187e2
9.536072144288577e-1	4.3363748340917006e1	-4.1839428874751974e2
9.538076152304609e-1	4.3884446435853555e1	-3.822912806348698e2
9.540080160320641e-1	4.44025094496992e1	-3.5109671799031946e2
9.542084168336673e-1	4.491800649621152e1	-3.238672538949582e2
9.544088176352705e-1	4.5431004283928864e1	-2.998866896599069e2
9.546092184368737e-1	4.594156791055365e1	-2.786015410566327e2
9.54809619238477e-1	4.644976396747003e1	-2.595772510574174e2
9.550100200400802e-1	4.695565872532946e1	-2.4246791803639354e2
9.552104208416833e-1	4.7459311234125046e1	-2.2699476476667854e2
9.554108216432865e-1	4.79607837717383e1	-2.1293061066609994e2
9.556112224448897e-1	4.8460139517993966e1	-2.0008847629423016e2
9.558116232464929e-1	4.895743740822414e1	-1.883130468498178e2
9.560120240480962e-1	4.9452736567176885e1	-1.7747425340838785e2
9.562124248496994e-1	4.994609538276901e1	-1.6746234062760894e2
9.564128256513026e-1	5.043757105701264e1	-1.5818404634395503e2
9.566132264529058e-1	5.092722028376815e1	-1.4955962309947162e2
9.56813627254509e-1	5.1415098902394014e1	-1.415204684119035e2
9.570140280561121e-1	5.190126399645881e1	-1.3400724577393242e2
9.572144288577153e-1	5.238576476578123e1	-1.2696833890618186e2
9.574148296593186e-1	5.2868657321540375e1	-1.2035878385528714e2
9.576152304609218e-1	5.3349996767408065e1	-1.1413892763535776e2
9.57815631262525e-1	5.3829835669708444e1	-1.0827402779563903e2
9.580160320641282e-1	5.430822201360654e1	-1.0273324857636939e2
9.582164328657314e-1	5.478520903816413e1	-9.748924496122099e1
9.584168336673347e-1	5.526084607944961e1	-9.251767534316602e1
9.586172344689379e-1	5.573518462989048e1	-8.779672840808915e1
9.588176352705411e-1	5.6208272566102295e1	-8.330690810291351e1
9.590180360721443e-1	5.668015926330369e1	-7.903066693336902e1
9.592184368737474e-1	5.7150893937409236e1	-7.495216072753298e1
9.594188376753506e-1	5.762052320828309e1	-7.10571506333827e1
9.596192384769539e-1	5.808909394606055e1	-6.733262324560123e1
9.598196392785571e-1	5.8556655170249094e1	-6.376682147161138e1
9.600200400801603e-1	5.902325255867727e1	-6.034901399060062e1
9.602204408817635e-1	5.948893225178086e1	-5.706944559763737e1
9.604208416833667e-1	5.995373994768434e1	-5.39191652619045e1
9.606212424849699e-1	6.0417721174562814e1	-5.088998090668327e1
9.608216432865732e-1	6.088092870497692e1	-4.7974368943961714e1
9.610220440881763e-1	6.134339191753733e1	-4.516542142269232e1
9.612224448897795e-1	6.1805163183966165e1	-4.2456767805170344e1
9.614228456913827e-1	6.2266286240079445e1	-3.98425315809909e1
9.616232464929859e-1	6.2726805449713005e1	-3.731728223441631e1
9.618236472945891e-1	6.3186764354505236e1	-3.4875992444003934e1
9.620240480961924e-1	6.3646205377771686e1	-3.2514012338586014e1
9.622244488977956e-1	6.410517403868214e1	-3.0226964130280308e1
9.624248496993988e-1	6.456371198906281e1	-2.8010904981527272e1
9.62625250501002e-1	6.502186210539145e1	-2.5862054752235945e1
9.628256513026052e-1	6.547966761677132e1	-2.3776925462246023e1
9.630260521042084e-1	6.593717083978457e1	-2.17522610606848e1
9.632264529058115e-1	6.639440900775986e1	-1.9785018270842688e1
9.634268537074148e-1	6.685143813543193e1	-1.7872352745888083e1
9.63627254509018e-1	6.730828709739686e1	-1.6011613736892166e1
9.638276553106212e-1	6.776500252170793e1	-1.4200271206629601e1
9.640280561122244e-1	6.822162643911726e1	-1.243599382595877e1
9.642284569138276e-1	6.867819673203043e1	-1.0716581536870224e1
9.644288577154309e-1	6.913476223078605e1	-9.039958488341798e0
9.646292585170341e-1	6.959136300734305e1	-7.40417440755083e0
