distance	triplet	singlet
4e0	1.218657455444336e2	2.9633518218994144e1
4.080402010050252e0	9.59015594518645e1	2.3263010745314475e1
4.160804020100502e0	7.581549605825231e1	1.8340960827893042e1
4.241206030150754e0	6.0200229984134964e1	1.4519803501134232e1
4.321608040201005e0	4.8003169871148565e1	1.153969154694136e1
4.402010050251256e0	3.84326968111877e1	9.205293301586197e0
4.482412060301508e0	3.0890297876657748e1	7.369001353067984e0
4.562814070351759e0	2.4921145503253722e1	5.91870737339352e0
4.64321608040201e0	2.0177899306935032e1	4.7688496471364505e0
4.723618090452261e0	1.6394043668071113e1	3.853820474146759e0
4.8040201005025125e0	1.3364142618168842e1	3.1230851755892473e0
4.884422110552764e0	1.0929140935105488e1	2.537549513560361e0
4.964824120603015e0	8.965366552270336e0	2.0668426342106803e0
5.045226130653266e0	7.376262123449204e0	1.6872749351484977e0
5.125628140703517e0	6.086139168127545e0	1.3802960111827973e0
5.206030150753769e0	5.0354385308666165e0	1.131324944717459e0
5.28643216080402e0	4.177118007596484e0	9.288591482392508e-1
5.366834170854271e0	3.47388731229335e0	7.637925483314558e-1
5.447236180904523e0	2.896082869313224e0	6.288917956607168e-1
5.527638190954773e0	2.420027826592558e0	5.183922772323576e-1
5.608040201005025e0	2.026761585559252e0	4.2768533122606683e-1
5.688442211055277e0	1.70105187808941e0	3.53075172506446e-1
5.768844221105528e0	1.4306237422971089e0	2.9158931008646827e-1
5.849246231155779e0	1.2055556394659632e0	2.4083016711122396e-1
5.92964824120603e0	1.0178048479900226e0	1.9885855429483792e-1
6.010050251256281e0	8.608332090995553e-1	1.6410185717793102e-1
6.090452261306533e0	7.29311044504246e-1	1.3528146444365988e-1
6.170854271356784e0	6.188821761261557e-1	1.113552269806587e-1
6.251256281407035e0	5.2597686402984e-1	9.147169715943203e-2
6.331658291457286e0	4.4766244467399374e-1	7.493363015144268e-2
6.4120603015075375e0	3.815237236457286e-1	6.116878995702959e-2
6.492462311557789e0	3.255669235808874e-1	4.970653379105711e-2
6.572864321608041e0	2.781423351518938e-1	4.015898079469533e-2
6.653266331658291e0	2.3788186159727248e-1	3.2205828131844645e-2
6.733668341708542e0	2.0364845675620827e-1	2.5582077060047552e-2
6.814070351758794e0	1.7449508706232714e-1	2.006808691058027e-2
6.894472361809045e0	1.4963134053839947e-1	1.5481496225545056e-2
6.974874371859297e0	1.283961918378871e-1	1.1670645318756605e-2
7.055276381909548e0	1.1023573574940923e-1	8.509209167273348e-3
7.135678391959799e0	9.468494068875102e-2	5.891808338258971e-3
7.21608040201005e0	8.135266268887072e-2	3.730412101843293e-3
7.296482412060302e0	6.990931017586036e-2	1.9513846683878525e-3
7.376884422110553e0	6.0076668838729586e-2	4.930547030148509e-4
7.457286432160804e0	5.161949072558722e-2	-6.962884700140864e-4
7.5376884422110555e0	4.433852743902749e-2	-1.6600499953858504e-3
7.618090452261306e0	3.8064747950600566e-2	-2.4346991153967757e-3
7.698492462311558e0	3.265453023385657e-2	-3.0509045538657607e-3
7.778894472361809e0	2.7985655081979532e-2	-3.534477332870668e-3
7.85929648241206e0	2.3953962061754e-2	-3.9071549834058614e-3
7.939698492462312e0	2.0470553085732666e-2	-4.1872548799206325e-3
8.020100502512562e0	1.7459449765861e-2	-4.3902193860638665e-3
8.100502512562814e0	1.4855627501812999e-2	-4.529071409485406e-3
8.180904522613066e0	1.2603362917142188e-2	-4.614795640191163e-3
8.261306532663315e0	1.0654842392776838e-2	-4.656658040725626e-3
8.341708542713569e0	8.968988545093986e-3	-4.662473948404321e-3
8.422110552763819e0	7.510468942878179e-3	-4.638833344752655e-3
8.50251256281407e0	6.2488574653285535e-3	-4.591290368891142e-3
8.582914572864322e0	5.157923722374722e-3	-4.524522938493975e-3
8.663316582914572e0	4.215030090721256e-3	-4.442467344733477e-3
8.743718592964825e0	3.400619327273852e-3	-4.348431866438744e-3
8.824120603015075e0	2.69777853780543e-3	-4.245192771304716e-3
8.904522613065327e0	2.091867609857037e-3	-4.135075512268898e-3
8.984924623115578e0	1.570202151837851e-3	-4.020023463925202e-3
9.065326633165828e0	1.121782585821917e-3	-3.9016561598241885e-3
9.145728643216081e0	7.370623773335907e-4	-3.7813186726668993e-3
9.226130653266331e0	4.0774949860255746e-4	-3.660123514267514e-3
9.306532663316583e0	1.2663615093953372e-4	-3.5389862113600484e-3
9.386934673366834e0	-1.1254745132223149e-4	-3.418655529175725e-3
9.467336683417084e0	-3.152587824669581e-4	-3.299739160916534e-3
9.547738693467338e0	-4.8625119435277264e-4	-3.1827255726177236e-3
9.628140703517587e0	-6.29667136373835e-4	-3.0680025851622605e-3
9.708542713567839e0	-7.491185648815773e-4	-2.9558731848673974e-3
9.78894472361809e0	-8.477563760540944e-4	-2.846568978204008e-3
9.86934673366834e0	-9.283304225394784e-4	-2.7402616424303528e-3
9.949748743718594e0	-9.932414430633262e-4	-2.637072670234743e-3
1.0030150753768844e1	-1.0445860387099273e-3	-2.5370816612349553e-3
1.0110552763819095e1	-1.084195664040456e-3	-2.4403333750049154e-3
1.0190954773869347e1	-1.113670460832665e-3	-2.3468437280507416e-3
1.0271356783919598e1	-1.1344086430365868e-3	-2.25660488988738e-3
1.035175879396985e1	-1.1476320402136458e-3	-2.169589610281636e-3
1.04321608040201e1	-1.154408320478951e-3	-2.085754890164376e-3
1.0512562814070352e1	-1.1556703404650443e-3	-2.0050450921202663e-3
1.0592964824120603e1	-1.1522330071116512e-3	-1.927394572273458e-3
1.0673366834170855e1	-1.1448079825141554e-3	-1.8527299034129144e-3
1.0753768844221106e1	-1.134016517248204e-3	-1.780971749014967e-3
1.0834170854271356e1	-1.1204006583619888e-3	-1.7120364391484313e-3
1.0914572864321608e1	-1.1044330446061618e-3	-1.6458372918580146e-3
1.099497487437186e1	-1.0865254726221871e-3	-1.5822857173202105e-3
1.1075376884422111e1	-1.0670363930291471e-3	-1.5212921366877985e-3
