mag_field	scattering_re	scattering_im
0e0	-5.056706118502833e1	-3.8195636208437627e-13
2.5006251562890724e-1	-5.055892095750644e1	-1.9253264817697913e-13
5.001250312578145e-1	-5.0547657555464546e1	4.780005836707899e-13
7.501875468867217e-1	-5.053637035253526e1	-2.9723751526768694e-13
1.000250062515629e0	-5.0525072621897486e1	2.271751692395397e-13
1.2503125781445363e0	-5.05137721327007e1	-1.629976212060033e-13
1.5003750937734435e0	-5.0502461751223024e1	3.993885669547938e-13
1.7504376094023506e0	-5.0491172430417855e1	-1.9652981117673987e-13
2.000500125031258e0	-5.047991662662082e1	-7.128369093465611e-14
2.2505626406601653e0	-5.046863378977189e1	-2.947946895354491e-13
2.5006251562890727e0	-5.045734974749956e1	-2.0163733764768982e-13
2.7506876719179796e0	-5.044608008857208e1	-1.0026349531482178e-13
3.000750187546887e0	-5.043479342582231e1	-8.027741280430811e-14
3.2508127031757943e0	-5.0423533586667375e1	-1.4345561903473332e-13
3.500875218804701e0	-5.0412287979354495e1	1.2668951531462873e-13
3.7509377344336086e0	-5.0401072782192664e1	2.507142089833372e-13
4.001000250062516e0	-5.038985917601266e1	-3.2610611072168653e-13
4.251062765691423e0	-5.03786429466849e1	1.3213015115909504e-13
4.501125281320331e0	-5.036744978033243e1	2.6337202033881223e-13
4.751187796949238e0	-5.035626135203799e1	-1.1303233745502431e-13
5.001250312578145e0	-5.034509125307083e1	-9.637727350764075e-14
5.251312828207052e0	-5.033393353674613e1	2.489376006375218e-13
5.501375343835959e0	-5.0322779804133994e1	9.726553444311129e-14
5.7514378594648665e0	-5.031166358107771e1	-5.385134938717513e-14
6.001500375093774e0	-5.03005637747211e1	-3.886179676501082e-15
6.251562890722681e0	-5.0289491207634015e1	1.4967342763185017e-13
6.501625406351589e0	-5.027843586318836e1	2.65259497386801e-13
6.751687921980496e0	-5.0267401052515055e1	7.905598728963559e-14
7.001750437609402e0	-5.025639739294307e1	-6.384436889080528e-14
7.25181295323831e0	-5.024541564378094e1	4.402485414117436e-13
7.501875468867217e0	-5.023445516539098e1	-1.032613178339041e-14
7.7519379844961245e0	-5.022351441413135e1	2.6281669721603893e-13
8.002000500125032e0	-5.021259946874146e1	-2.51602285336807e-13
8.252063015753938e0	-5.020171066293055e1	-2.376120329766985e-13
8.502125531382847e0	-5.0190852176668386e1	3.3498853820987685e-13
8.752188047011753e0	-5.018002997486696e1	1.3090867389317732e-13
9.002250562640661e0	-5.0169218048825144e1	-1.188060007621753e-13
9.252313078269568e0	-5.0158453745694345e1	6.861878995543762e-14
9.502375593898476e0	-5.014771491999348e1	9.349032138626087e-14
9.752438109527382e0	-5.013702678259419e1	1.9275438344905283e-13
1.000250062515629e1	-5.0126363327434916e1	-3.2088717972118174e-14
1.0252563140785197e1	-5.011572145153816e1	-9.893095666214714e-14
1.0502625656414104e1	-5.010511366720565e1	-5.230793678123676e-13
1.0752688172043012e1	-5.009454557360964e1	-2.900197941003406e-13
1.1002750687671918e1	-5.008400820508172e1	4.921009465463482e-13
1.1252813203300827e1	-5.0073483189077784e1	-9.637716681525027e-14
1.1502875718929733e1	-5.00629995215326e1	-2.3028368140377275e-13
1.1752938234558641e1	-5.005257228192908e1	-3.4831238088667795e-13
1.2003000750187548e1	-5.004221196049147e1	-8.67172323946838e-14
1.2253063265816454e1	-5.003183693884875e1	1.9997148394463074e-13
1.2503125781445362e1	-5.0021545733770715e1	5.012055751224397e-13
1.2753188297074269e1	-5.00112162909213e1	2.0829898526892135e-13
1.3003250812703177e1	-5.0000972466604175e1	-1.1525284526484547e-13
1.3253313328332084e1	-4.99908069686005e1	8.804961707599795e-14
1.3503375843960992e1	-4.9980634337856536e1	-3.142249760901452e-14
1.3753438359589898e1	-4.9970502606003876e1	-5.6182979280890435e-14
1.4003500875218805e1	-4.996040195534483e1	2.9579338077595304e-13
1.4253563390847713e1	-4.995039329296068e1	-1.576676365069832e-14
