mag_field	scattering_re	scattering_im
0e0	-3.243439607457577e1	3.93230031150192e-13
2.5006251562890724e-1	-3.218366135184073e1	-4.110218445534682e-13
5.001250312578145e-1	-3.193423138650256e1	7.633099262299757e-15
7.501875468867217e-1	-3.1686121515060158e1	-5.50582036200784e-13
1.000250062515629e0	-3.1439333592473687e1	4.1579520502306086e-14
1.2503125781445363e0	-3.1193880922449143e1	4.562364165626702e-13
1.5003750937734435e0	-3.0949811592502623e1	2.464513383629589e-13
1.7504376094023506e0	-3.070706893090231e1	-2.5888616245554457e-13
2.000500125031258e0	-3.046570339977759e1	-9.84249792943862e-14
2.2505626406601653e0	-3.0225724912723877e1	1.5613090276976306e-13
2.5006251562890727e0	-2.998714582501012e1	-2.617723885163935e-13
2.7506876719179796e0	-2.974996776877533e1	2.8034138516428293e-15
3.000750187546887e0	-2.951417090004876e1	-2.3265546114358934e-13
3.2508127031757943e0	-2.9279798967219698e1	-1.2937324001978494e-13
3.500875218804701e0	-2.9046844553249116e1	3.8267922686200915e-13
3.7509377344336086e0	-2.881531815183158e1	-5.036696507245447e-13
4.001000250062516e0	-2.8585205229332217e1	-1.673716722969833e-14
4.251062765691423e0	-2.8356545271935964e1	2.349586164509763e-13
4.501125281320331e0	-2.8129306537195855e1	9.920161342854763e-14
4.751187796949238e0	-2.790353123498612e1	5.579047022918872e-14
5.001250312578145e0	-2.7679190719271006e1	2.5313872186836687e-14
5.251312828207052e0	-2.7456297182310234e1	2.8328207309376023e-13
5.501375343835959e0	-2.723486226201735e1	-8.418519550535352e-14
5.7514378594648665e0	-2.7014875079999904e1	-2.96965700754631e-13
6.001500375093774e0	-2.6796350769985924e1	-1.3991993484983569e-13
6.251562890722681e0	-2.657927828161969e1	1.0858292555080004e-13
6.501625406351589e0	-2.6363656880030085e1	-3.7404468984652906e-13
6.751687921980496e0	-2.614951099858519e1	-7.893904811054464e-14
7.001750437609402e0	-2.5936791766152496e1	1.7381016067242788e-13
7.25181295323831e0	-2.572555846803144e1	-1.3406303164726855e-13
7.501875468867217e0	-2.5515761397871692e1	-2.308492231172565e-13
7.7519379844961245e0	-2.530742544534522e1	-8.676618507986146e-14
8.002000500125032e0	-2.5100543915392773e1	2.0262088386511636e-13
8.252063015753938e0	-2.489511104635302e1	-3.386265414483399e-13
8.502125531382847e0	-2.4691117693852593e1	5.464236615611113e-13
8.752188047011753e0	-2.4488546688332338e1	-2.7267741245978443e-13
9.002250562640661e0	-2.4287451025818335e1	-4.089881996001352e-13
9.252313078269568e0	-2.4087765615534387e1	1.431805090180231e-13
9.502375593898476e0	-2.388951070414092e1	1.7741774940066668e-13
9.752438109527382e0	-2.3692703691836414e1	2.741480670717452e-13
1.000250062515629e1	-2.349728608781864e1	-2.59798010252032e-13
1.0252563140785197e1	-2.3303314917265514e1	-4.3746527037750976e-13
1.0502625656414104e1	-2.311072963022758e1	-1.3320189523543002e-13
1.0752688172043012e1	-2.2919537769091797e1	9.203945130487142e-14
1.1002750687671918e1	-2.272975918221524e1	-2.27031491920355e-13
1.1252813203300827e1	-2.2541358978239884e1	-9.117894648264864e-15
1.1502875718929733e1	-2.2354342512484482e1	-4.4491702420690034e-13
1.1752938234558641e1	-2.2168677727940587e1	-1.0672231723099962e-13
1.2003000750187548e1	-2.1984390734711333e1	3.460494279864624e-13
1.2253063265816454e1	-2.180147832234349e1	-4.9697316974359284e-14
1.2503125781445362e1	-2.1619888334210646e1	8.938852727725194e-14
1.2753188297074269e1	-2.1439635932409548e1	4.7587822304690794e-14
1.3003250812703177e1	-2.1260725266084908e1	-2.575764677988343e-13
1.3253313328332084e1	-2.108311985018885e1	-1.3228546021287586e-13
1.3503375843960992e1	-2.0906829246709805e1	4.1870028696975034e-14
1.3753438359589898e1	-2.0731819364345412e1	1.8659011246675927e-13
1.4003500875218805e1	-2.0558115633562316e1	-3.064268117381944e-14
1.4253563390847713e1	-2.038566016201764e1	8.057579524567211e-14
1.450362590647662e1	-2.021449328299187e1	3.7132024964517114e-13
1.4753688422105528e1	-2.004457006377252e1	-7.771687922676284e-16
1.5003750937734434e1	-1.987587539190612e1	4.881590141993285e-13
1.5253813453363342e1	-1.9708424830607505e1	2.6158654677853044e-13
1.5503875968992249e1	-1.9542169175118428e1	-4.4852317713996083e-13
1.5753938484621157e1	-1.9377124788681357e1	4.2193281348525593e-13
1.6004001000250064e1	-1.9213272862540954e1	-3.2770111395652965e-13
1.6254063515878972e1	-1.9050582690635586e1	-2.694550976493114e-13
1.6504126031507877e1	-1.888905663537237e1	-7.005608748306048e-14
1.6754188547136785e1	-1.87286710492387e1	1.2887097247356616e-13
1.7004251062765693e1	-1.8569422900280426e1	3.046772181293195e-13
1.72543135783946e1	-1.841129316643768e1	1.3846059413866933e-13
1.7504376094023506e1	-1.8254257846048823e1	-3.602722445370564e-14
1.7754438609652414e1	-1.8098308375151383e1	-3.5377727058064947e-13
1.8004501125281323e1	-1.7943425267535243e1	-3.725124488135535e-13
1.8254563640910227e1	-1.7789601387654077e1	-2.7651847427751407e-13
1.8504626156539135e1	-1.7636807972336747e1	1.3832165759383703e-13
1.8754688672168044e1	-1.748502787640321e1	-1.7690235655821967e-13
1.9004751187796952e1	-1.7334246060218142e1	3.1768725442357906e-13
1.9254813703425857e1	-1.7184439841187817e1	4.644951258599134e-13
1.9504876219054765e1	-1.7035612933281595e1	2.685383575530713e-15
1.9754938734683673e1	-1.6887719247425544e1	4.0661001217710197e-13
2.000500125031258e1	-1.6740758874036967e1	1.1302892862670141e-13
2.0255063765941486e1	-1.659468837570486e1	-1.8511094192315432e-13
2.0505126281570394e1	-1.6449487558732102e1	-1.3042488236083612e-13
2.0755188797199303e1	-1.630516051770823e1	-4.996265696183734e-13
2.1005251312828207e1	-1.616166735796277e1	8.967921565260052e-14
2.1255313828457115e1	-1.6018996557303023e1	-4.3306087943331556e-14
2.1505376344086024e1	-1.5877102910912274e1	2.0617746429498353e-13
2.1755438859714932e1	-1.573596570893789e1	1.8634586883973056e-13
2.2005501375343837e1	-1.559557743765882e1	-1.2132081880733898e-13
2.2255563890972745e1	-1.5455882628903067e1	4.4929773705044346e-13
2.2505626406601653e1	-1.5316880609711886e1	2.6451315463354217e-13
2.2755688922230558e1	-1.5178535893836886e1	-2.2670966180959854e-13
2.3005751437859466e1	-1.504078246679753e1	-8.81317007860465e-14
2.3255813953488374e1	-1.4903612922459494e1	-1.3861953334816114e-13
2.3505876469117283e1	-1.4767003055667907e1	-1.3642680065782018e-13
2.3755938984746187e1	-1.463089461142733e1	3.176653232129274e-14
2.4006001500375096e1	-1.4495248926900075e1	-9.376607304839314e-14
2.4256064016004004e1	-1.436002083126715e1	5.247929387554628e-14
2.450612653163291e1	-1.4225180896727347e1	3.8205863661176474e-14
2.4756189047261817e1	-1.4090682396054023e1	1.9623350114526247e-13
2.5006251562890725e1	-1.395642829716266e1	-7.310876421679716e-14
2.5256314078519633e1	-1.3822392480257667e1	-9.164268252455546e-14
2.5506376594148538e1	-1.3688485309195746e1	3.8550706077527446e-13
2.5756439109777446e1	-1.3554678610458364e1	-1.4598153868088388e-13
2.6006501625406354e1	-1.3420837429824942e1	2.8026397391383635e-14
2.625656414103526e1	-1.328690384118963e1	-4.643124740634895e-13
2.6506626656664167e1	-1.3152792206326055e1	6.276273610034725e-14
2.6756689172293076e1	-1.3018367481675325e1	2.368052613620696e-13
2.7006751687921984e1	-1.2883493480785232e1	-1.1475620057555045e-13
2.725681420355089e1	-1.2748055986725646e1	-2.6169517103863324e-13
2.7506876719179797e1	-1.2611870078029073e1	-3.916128837398509e-13
2.7756939234808705e1	-1.2474736997059466e1	-2.2601507996355963e-13
2.800700175043761e1	-1.2336453169271852e1	7.528399449063544e-14
2.8257064266066518e1	-1.2196730982449697e1	3.656888558543843e-13
2.8507126781695426e1	-1.205527311288685e1	4.851252208388843e-13
2.8757189297324334e1	-1.1911692620856277e1	-3.011497299290674e-15
2.900725181295324e1	-1.1765499043252133e1	-1.3291872905777403e-13
2.9257314328582147e1	-1.161616966940797e1	-2.0404276230565424e-13
2.9507376844211056e1	-1.1462954932102317e1	-4.777280461631504e-13
2.9757439359839964e1	-1.1304956455420474e1	2.5039128550107104e-13
3.000750187546887e1	-1.1140980466861993e1	1.0353228812941413e-13
3.0257564391097777e1	-1.096951651089731e1	1.3131920856009141e-14
3.0507626906726685e1	-1.0788447978691423e1	2.6793971510788616e-13
3.075768942235559e1	-1.0594928932733692e1	-1.653303089463222e-13
3.1007751937984498e1	-1.0384828753724692e1	2.373320271590312e-13
3.1257814453613406e1	-1.0152090554832983e1	-1.3317527841083868e-13
3.1507876969242314e1	-9.887392488715367e0	2.6214551307870385e-13
3.175793948487122e1	-9.575510994696073e0	1.2864757179718085e-13
3.200800200050013e1	-9.18983485731221e0	1.9609034450667603e-13
3.225806451612903e1	-8.67922413346258e0	-3.503458244924032e-13
3.2508127031757944e1	-7.931202236040494e0	3.6175668795411435e-13
3.275818954738685e1	-6.640516746374745e0	1.0644455774393784e-13
3.300825206301575e1	-3.58590602122942e0	-8.327631129366897e-14
3.3258314578644665e1	1.7131766218025145e1	1.1316082994813475e-13
3.350837709427357e1	-2.39068630184686e1	-9.341355690082731e-14
3.375843960990248e1	-1.5575376531369495e1	-1.653554700459317e-14
3.4008502125531386e1	-1.340365320323616e1	-1.1921800558837255e-13
3.425856464116029e1	-1.2352232928158497e1	-2.374504200387083e-14
3.45086271567892e1	-1.1700641187766724e1	-3.3520941901754583e-13
3.475868967241811e1	-1.1236890432473356e1	-3.9427691138521574e-13
3.500875218804701e1	-1.087611977404322e1	-2.1101624629704728e-13
3.5258814703675924e1	-1.0577675101097505e1	-2.3808493951239664e-13
