mag_field	scattering_re	scattering_im
0e0	-7.187527501397256e0	-2.6635903126134933e-13
1.001615508885299e0	-7.201643474551022e0	-7.182493741517035e-13
2.003231017770598e0	-7.2327080627435425e0	1.2586587706066068e-12
3.004846526655897e0	-7.298438264215923e0	-8.026553997539368e-13
4.006462035541196e0	-7.377603673406163e0	4.2063279218752024e-13
5.008077544426495e0	-7.488598809535063e0	3.555906262429598e-13
6.009693053311794e0	-7.624983166336182e0	1.1133544252689747e-12
7.011308562197092e0	-7.78465498945183e0	-6.141000459757872e-13
8.012924071082391e0	-7.95597638487287e0	1.426368018009978e-13
9.01453957996769e0	-8.162049917977608e0	-4.4628373828433416e-13
1.001615508885299e1	-8.391978760165628e0	-1.7926541374763432e-12
1.1017770597738288e1	-8.64815298955783e0	7.742411155072328e-13
1.2019386106623587e1	-8.929418705186036e0	3.383431625161443e-13
1.3021001615508887e1	-9.222414478165799e0	7.106643762878804e-14
1.4022617124394184e1	-9.552609352325264e0	-1.0367768958912299e-12
1.5024232633279484e1	-9.896136720084758e0	-5.4477274565214576e-14
1.6025848142164783e1	-1.0277708700523716e1	-5.224928310778823e-13
1.702746365105008e1	-1.0668700663549679e1	-5.905582178650511e-13
1.802907915993538e1	-1.1088492025249405e1	1.2161032585516952e-12
1.903069466882068e1	-1.152973206547943e1	1.372947528813003e-13
2.003231017770598e1	-1.2000699974449779e1	-1.6573972711429893e-12
2.1033925686591278e1	-1.2489170224502583e1	1.0345029052047348e-13
2.2035541195476576e1	-1.3008496276894965e1	-5.295836328225498e-13
2.3037156704361877e1	-1.3546271144023537e1	-9.581317543765016e-13
2.4038772213247174e1	-1.4105217642516426e1	-1.1489081518665082e-14
2.5040387722132472e1	-1.4688951814665977e1	-3.9429773733384585e-13
2.6042003231017773e1	-1.5300765981390692e1	-1.1780603438325883e-12
2.704361873990307e1	-1.5926836336184266e1	6.9286477910288e-13
2.804523424878837e1	-1.658385209585766e1	-1.6530265177694195e-12
2.904684975767367e1	-1.7260331675103586e1	-2.1746169046247345e-13
3.0048465266558967e1	-1.795636615640076e1	-1.1500292770780747e-12
3.105008077544427e1	-1.8684092284211157e1	-1.0223431726045762e-13
3.2051696284329566e1	-1.9429552279860207e1	1.7404989172305917e-12
3.305331179321487e1	-2.0188074671923403e1	1.18262858671362e-12
3.405492730210016e1	-2.0982431144861817e1	-8.247373735570867e-13
3.505654281098546e1	-2.1792325407762092e1	1.089810595908746e-12
3.605815831987076e1	-2.2620257982369186e1	-3.6769264125783485e-13
3.705977382875606e1	-2.3472115388200653e1	-9.23242416821369e-13
3.806138933764136e1	-2.4350254724356688e1	-1.1278501372581839e-13
3.906300484652666e1	-2.5245349455807066e1	1.4906164872247738e-12
4.006462035541196e1	-2.6153821390292595e1	9.252828831144014e-13
4.1066235864297255e1	-2.709372497457572e1	-9.170743115012262e-13
4.2067851373182556e1	-2.805215327438508e1	-3.090036676767426e-13
4.306946688206786e1	-2.9023869307821315e1	7.700668201655249e-13
4.407108239095315e1	-3.002344677922188e1	5.58360662336522e-13
4.507269789983845e1	-3.1042436706665697e1	8.986105840635956e-13
4.6074313408723754e1	-3.207131684447814e1	-8.069893043457428e-13
4.707592891760905e1	-3.3125251209944025e1	-1.2514620394168783e-12
4.807754442649435e1	-3.41950985608378e1	-5.195726073303687e-13
4.907915993537965e1	-3.5284609196210724e1	7.713724144423082e-13
5.0080775444264944e1	-3.6390640988929945e1	-7.603813682936222e-13
5.1082390953150245e1	-3.751697729797986e1	1.4812251654691922e-12
5.2084006462035546e1	-3.86672874531733e1	-5.906417155504818e-13
